clean_product_id,store,normalized_name,category_l1,category_l2
2,keells,drinking water,beverages,water
3,keells,marie biscuit,snacks,biscuits
4,keells,mustard seeds,spices,spices
5,keells,dill seeds,spices,spices
6,keells,nice biscuit,snacks,biscuits
7,keells,custard cream biscuit,snacks,biscuits
8,keells,papadam,staples,papadams
9,keells,chocolate cream biscuit,snacks,biscuits
11,keells,vanilla wafers,snacks,biscuits
12,keells,table salt,staples,salt
15,keells,coriander seeds,spices,spices
16,keells,goraka,spices,spices
17,keells,cream cracker,snacks,biscuits
18,keells,drinking water,beverages,water
19,keells,corn flour,staples,flour
21,keells,chilli pieces,spices,spices
22,keells,chilli powder,spices,spices
23,keells,green peas,staples,lentils_pulses
24,keells,red dhal,staples,lentils_pulses
26,keells,raw curry powder,spices,spices
27,keells,maldive fish powder mix,protein,dried_fish
35,keells,roasted curry powder,spices,spices
39,keells,green peas,staples,lentils_pulses
40,keells,wheat flour,staples,flour
50,keells,table salt,staples,salt
51,keells,soya sauce,condiments,sauces
53,keells,soya beans,staples,lentils_pulses
57,keells,gram dhall,staples,lentils_pulses
59,keells,bbq chicken tikka mix,spices,spice_mixes
60,keells,tea green box,beverages,tea
64,keells,tea bopf,beverages,tea
66,keells,atta flour,staples,flour
67,keells,tea bopf box,beverages,tea
72,keells,mustard cream,spices,spices
76,keells,red dhal,staples,lentils_pulses
78,keells,toilet bowl cleaner power,fats,oils
79,keells,natural coconut water vinegar,beverages,water
81,keells,toilet bowl cleaner floral,fats,oils
85,keells,drinking water,beverages,water
86,keells,dates,fruits,dried_fruits
90,keells,red beans,staples,lentils_pulses
91,keells,chilli powder,spices,spices
92,keells,chilli pieces,spices,spices
93,keells,cake flour,staples,flour
94,keells,semolina,staples,flour
95,keells,popcorn,snacks,popcorn
96,keells,whole chilli,spices,spices
98,keells,pepper powder,spices,spices
101,keells,pepper seeds,spices,spices
104,keells,soya sauce,condiments,sauces
105,keells,raw curry powder,spices,spices
107,keells,ginger flavoured tea box,beverages,tea
108,keells,tomato sauce,condiments,sauces
110,keells,chilli sauce,spices,spices
113,keells,roasted curry powder,spices,spices
114,keells,maldive fish,protein,dried_fish
116,keells,chilli garlic sauce,spices,spices
121,keells,konde gram,staples,lentils_pulses
127,keells,whipping cream powder,dairy,cream
134,keells,dates,fruits,dried_fruits
138,keells,foil container,fats,oils
143,keells,foil container,fats,oils
144,keells,kidney beans,staples,lentils_pulses
146,keells,malay pickle,condiments,pickles
147,keells,sinhala pickle,condiments,pickles
149,keells,toor dhal,staples,lentils_pulses
150,keells,tomato sauce,condiments,sauces
151,keells,chilli sauce,spices,spices
156,keells,aluminium foil 25ft,fats,oils
157,keells,chilli paste,spices,spices
159,keells,tea bopf,beverages,tea
160,keells,pistachios roasted salted,staples,salt
161,keells,green gram dhal,staples,lentils_pulses
162,keells,vegetarian chilli paste,spices,spices
