Price,Inventory,Sort,ItemName,Id,IsActive,IsSaleable,IsSponsored,SKUCODE,MasterSKUCODE,AId,ShortDescription,Description,ItemImage,WebImage,UnitSize,UOM,PackSize,Type,MaxOrderQuantity,Mrp,DiscountAmount,SearchTerm,MinOrderQuantity,Quantity,TotalCount,EnId,IsRestricted,CategoryCode,store,pincode,webstore_id,scraped_at_utc,source_category_url
590.00,20,-977,"Maggi Papare Blast Noodles, Multi Pack",646608,0,True,True,PSE0271,,0,"Instant Noodles
","Maggi Papare Blast Noodles. *Images for illustration purposes only. Product received may vary.
",,,375.0,g,24,,30.0,0.00,,"Maggi Papare Blast Noodles, Instant Noodles, Noodles, Papare, Kottu, Papare Kottu,Maggi Papare,Noodles",1.00,0,384,xpf2Zggo5blBMqVl5ZcbMw==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
130.00,23,-976,Maggi Papare Spicy Chicken Noodles,693,0,True,True,PS10200,,0,Insant Noodles,"Maggi Daiya Chicken Flavour - For those Chicken lovers, looking for a twist to their Chicken Noodles! *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/PS10200_1.jpg,/VendorItems/MenuItems/PS10200_2.jpg,74.0,g,80,NV,30.0,0.00,,"PS10200,Maggi Papare Spicy Chicken Noodles,74g,Maggi,Papare Spicy Chicken Noodles,Maggi Noodles,Spicy Chicken,Instant Noodles,Maggi Papare Spicy Chicken Noodles 74g,Noodles,Spicy Chicken Noodles,Instant,,Food Cupboard,Noodles, Pasta & Vermicelli",1.00,0,384,Fp88gtK/85qXhWeHaRaArA==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
130.00,54,-975,Maggi Papare Kottu Noodles,725,0,True,True,PSE0081,,0,Kottu,"MAGGI Papare Kottu - Have you tried the latest Kottu in town?! Introducing Maggi Papare Kottu, a mouth-watering and tongue-tingling Noodle made using Onion, Garlic, Chilli and Pepper. Maggi Papare Kottu also has a new broad noodle strand giving all noodles fans a great mouthfeel and makes you keep asking for more! What more, this product has no added artificial colours or flavours! *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/PSE0081_1.jpg,/VendorItems/MenuItems/PSE0081_2.jpg,75.0,g,80,V,30.0,0.00,,"PSE0081,Maggi Papare Kottu Noodles,77g,Maggi,Papare Kottu Noodles,Maggi Noodles,kottu noodles,Instant Noodles,Maggi Papare Kottu Noodles 77g,Noodles,Papare Kottu Noodles,Instant,,Food Cupboard,Noodles, Pasta & Vermicelli",1.00,0,384,FnuigDEq9N/P7zqW+6YXZQ==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
959.00,16,-777,Flora Margarine,863,0,True,False,DY20202,FC1102,0,Margarine,Flora is a plant-based fat spread that includes healthy fats such as Omega 3 and Omega 6 which help to maintain a normal blood cholesterol level and overall heart health. Flora also adds a unique taste for your healthy family dishes. Flora 500g can be used for cooking and spreading.*Images for illustration purposes only. Product received may vary.,/VendorItems/MenuItems/DY20202_1.jpg,/VendorItems/MenuItems/DY20202_2.jpg,500.0,g,24,V,10.0,1370.00,30.00%,"DY20202,Flora Margarine,500g,Flora,Fat Spreads,Flora Margarine,Spreads,,Flora Margarine 500g,,,,,Food Cupboard,Margarine",1.00,0,384,yFNZjZNeNYcE6Wws/Dfmhg==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
"1,030.00",47,-772,Meadowlea Fat Spread,866,0,True,False,DY20409,FC1103,0,Spread,"Made with the goodness of sunflower oil, Meadowlea is a fat spread that offers a delicious creamy taste and is enriched with essential nutrients such as Vitamin A, D and E. *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/DY20409_1.jpg,/VendorItems/MenuItems/DY20409_2.jpg,500.0,g,24,V,10.0,0.00,,"DY20409,Meadowlea Fat Spread,500g,Meadowlea,Fat Spreads,Meadowlea Margarine,Spreads,,Meadowlea Fat Spread 500g,,,,,Food Cupboard,Margarine",1.00,0,384,ZHCQ4qSpGgV8gLm2k0yNHA==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
460.00,115,-762,Roza Fusilli,714,0,True,False,PS39111,,0,Pasta,"Long, thick, corkscrew-shaped pasta that may be solid or hollow. [Source : www.wikipedia.org] *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/PS39111_1.jpg,/VendorItems/MenuItems/PS39111_2.jpg,400.0,g,20,V,10.0,0.00,,"PS39111,Roza Fusilli,400g,Roza,Fusilli,Pasta,Macaroni & Pasta,Fusilli Pasta,Roza Fusilli 400g,,,,,Food Cupboard,Noodles, Pasta & Vermicelli",1.00,0,384,ZbQMEccJkc1BXMHIIqMsMA==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
"1,700.00",22,-761,Meadowlea Fat Spread,636077,0,True,False,DYE0012,FC1103,0,Spread,"Margarine spread made from vegetable oils that is spreadable at refrigerated temperatures. It contains 65% less saturated fat than butter, has a natural colour and flavour and is a source of Omega-3. Use it as a spread, an ingredient, for shallow frying, baking or sautéing.*Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/DYE0012_1.jpg,/VendorItems/MenuItems/DYE0012_2.jpg,1.0,kg,12,,10.0,0.00,,"DYE0012,Meadowlea Fat Spread,1kg,Meadowlea,Fat Spreads,Meadowlea Margarine,Spreads,,Meadowlea Fat Spread 1kg,,,,,Food Cupboard,Margarine",1.00,0,384,1lXlnCJZdAipwN9MoyKuRw==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
475.00,92,-755,Roza Spaghetti,630302,0,True,False,PS39146,,0,Spaghetti,"Cook with rich spicey flavours, olive oil and lots of fresh vegetables. *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/PS39146_1.jpg,/VendorItems/MenuItems/PS39146_2.jpg,400.0,g,5,V,10.0,0.00,,"PS39146,Roza Spaghetti,400g,Roza,Spaghetti,Pasta,Macaroni & Pasta,Spaghetti Pasta,Roza Spaghetti 400g,,,,,Food Cupboard,Noodles, Pasta & Vermicelli",1.00,0,384,3wwRl7ykahFKmGPJ9GSMkA==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
385.00,105,-750,Kist Mixed Fruit Jam,387,0,True,False,JS10200,FC1001,0,Jam,"Kist Mixed fruit Jam is made with a combination of many tropical fruits together and it’s a favourite amongst all age groups. Thanks to Kist's unique aseptic packaging technology, Kist buys large fruit quantities from local farmers during the season & stores without adding any preservatives to use during the off season. Cargills contributes 50 Cents to a farmer foundation, for each 1kg of fruit and vegetables purchased by Kist for manufacturing it's product range. This is used for a special welfare fund (Sarubima Fund) focused on empowering farmer's children through education. *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/JS10200_1.jpg,/VendorItems/MenuItems/JS10200_2.jpg,510.0,g,12,V,10.0,550.00,30.00%,"JS10200,Kist Mixed Fruit Jam,510g,Kist,Mixed Fruit Jam,Jam,Mixed Fruit,,Kist Mixed Fruit Jam 510g,Kist Jam,,,,Food Cupboard,Jams and Spreads",1.00,0,384,tDtiFn5xT9wBUC4ORv1YKA==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
414.00,63,-746,Roza Creste Di Galli,716,0,True,False,PS39121,,0,Pasta,"Short, curved, and ruffled. [Source : www.wikipedia.org] *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/PS39121_1.jpg,/VendorItems/MenuItems/PS39121_2.jpg,400.0,g,20,V,10.0,460.00,10.00%,"PS39121,Roza Creste Di Galli,400g,Roza,Creste Di Galli,Pasta,Macaroni & Pasta,Creste Di Galli Pasta,Roza Creste Di Galli 400g,,,,,Food Cupboard,Noodles, Pasta & Vermicelli",1.00,0,384,Jle77Kt6/shc4tbn15mlwA==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
