store,outlet_code,scraped_at_utc,item_id,item_code,name,long_description,uom,price,is_promo,promo_percent,promo_type_id,promo_header_id,final_price,stock_in_hand,is_available,is_selling_today,min_qty,max_qty,department_code,sub_department_code,category_code,image_url
keells,SCDR,2026-02-25T05:14:54+00:00,20400,111083,Keells Dishwash Bar 100g,KEELLS DISHWASH BAR 100G,NO,63.0,False,,,,63.0,42.0,True,True,1.0,99.0,H,H2L,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic111083.jpg
keells,SCDR,2026-02-25T05:14:54+00:00,20154,110859,Keells Drinking Water Pet 500ml,KEELLS DRINKING WATER PET 500ML,NO,70.0,False,,,,70.0,17.0,True,True,1.0,99.0,B,B0D,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic110859.jpg
keells,SCDR,2026-02-25T05:14:54+00:00,13184,119010,Keells Marie Biscuit 80g,KEELLS MARIE BISCUIT 80G,NO,81.0,False,,,,81.0,9.0,True,True,1.0,99.0,G,GBS,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic119010.jpg
keells,SCDR,2026-02-25T05:14:54+00:00,51766,42549,Keells Mustard Seeds 100g,KEELLS MUSTARD SEEDS 100G,NO,85.0,False,,,,85.0,5.0,True,True,1.0,99.0,G,G15,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic42549.jpg
keells,SCDR,2026-02-25T05:14:54+00:00,51763,42546,Keells Dill Seeds 100g,KEELLS DILL SEEDS 100G,NO,92.0,False,,,,92.0,8.0,True,True,1.0,99.0,G,G15,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic42546.jpg
keells,SCDR,2026-02-25T05:14:54+00:00,13185,119011,Keells Nice Biscuit 100g,KEELLS NICE BISCUIT 100G,NO,99.0,False,,,,99.0,17.0,True,True,1.0,99.0,G,GBS,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic119011.jpg
keells,SCDR,2026-02-25T05:14:54+00:00,13146,118977,Keells Custard Cream Biscuit 100g,KEELLS CUSTARD CREAM BISCUIT 100G,NO,99.0,False,,,,99.0,15.0,True,True,1.0,99.0,G,GBS,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic118977.jpg
keells,SCDR,2026-02-25T05:14:54+00:00,20189,110890,Keells Papadam 60g,KEELLS PAPADAM 60G,NO,105.0,False,,,,105.0,7.0,True,True,1.0,99.0,G,G1D,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic110890.jpg
keells,SCDR,2026-02-25T05:14:54+00:00,13182,119009,Keells Chocolate Cream Biscuit 100g,KEELLS CHOCOLATE CREAM BISCUIT 100G,NO,108.0,False,,,,108.0,11.0,True,True,1.0,99.0,G,GBS,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic119009.jpg
keells,SCDR,2026-02-25T05:14:54+00:00,51774,42556,Keells Corriander Powder 100g,KEELLS CORRIANDER POWDER 100G,NO,110.0,False,,,,110.0,3.0,True,True,1.0,99.0,G,G15,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic42556.jpg
