basket_id,basket_size,single_recommended_store,single_total,single_items_total,single_travel_cost,single_missing_count,nearest_store,nearest_total,nearest_items_total,nearest_travel_cost,nearest_optimal,full_coverage,savings_vs_nearest,second_store,save_vs_second,save_pct_vs_second,stores_evaluated,multi_total,multi_basket_total,multi_travel_cost,multi_distance_km,multi_duration_min,multi_num_stops,best_single_store,best_single_total,best_single_items_total,best_single_travel_cost,savings_vs_best_single_store,multi_wins
basket_001,2,cargills,1060.0,1060.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,1761.0,895.0,866.0,10.82,31.5,2,cargills,1060.0,1060.0,0.0,-701.0,0
basket_002,3,cargills,1420.0,1420.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,2174.36,1185.0,989.36,12.37,30.55,2,cargills,1420.0,1420.0,0.0,-754.36,0
basket_003,2,cargills,1055.0,1055.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,1055.0,1055.0,0.0,0.0,0.0,1,cargills,1055.0,1055.0,0.0,0.0,0
basket_004,2,cargills,1775.0,1775.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,1122.28,455.0,667.28,8.34,27.27,2,cargills,1775.0,1775.0,0.0,652.72,1
basket_005,2,keells,3040.0,3040.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,3040.0,3040.0,0.0,0.0,0.0,1,keells,3040.0,3040.0,0.0,0.0,0
basket_006,5,cargills,1655.0,1655.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,2634.36,1645.0,989.36,12.37,30.38,2,cargills,1655.0,1655.0,0.0,-979.36,0
basket_007,3,cargills,1165.0,1165.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,1991.88,1145.0,846.88,10.59,31.42,2,cargills,1165.0,1165.0,0.0,-826.88,0
basket_008,3,cargills,585.0,585.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,1554.36,565.0,989.36,12.37,30.37,2,cargills,585.0,585.0,0.0,-969.36,0
basket_009,2,cargills,1620.0,1620.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,2291.88,1445.0,846.88,10.59,31.32,1,cargills,1620.0,1620.0,0.0,-671.88,0
basket_010,4,keells,1975.0,1975.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,2632.28,1965.0,667.28,8.34,27.23,2,keells,1975.0,1975.0,0.0,-657.28,0
basket_011,5,keells,4936.76,4475.0,461.76,0,,0.0,0.0,0.0,0,1,,,,,2,5081.88,4235.0,846.88,10.59,31.22,2,keells,4936.76,4475.0,461.76,-145.12,0
basket_012,4,keells,4145.08,3695.0,450.08,0,,0.0,0.0,0.0,0,1,,,,,2,4584.36,3595.0,989.36,12.37,30.32,2,keells,4145.08,3695.0,450.08,-439.28,0
basket_013,3,keells,2467.48,2125.0,342.48,0,,0.0,0.0,0.0,0,1,,,,,2,2762.28,2095.0,667.28,8.34,27.75,2,keells,2467.48,2125.0,342.48,-294.8,0
basket_014,2,keells,1240.0,1240.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,1240.0,1240.0,0.0,0.0,0.0,1,keells,1240.0,1240.0,0.0,0.0,0
basket_015,4,cargills,3094.8,2770.0,324.8,0,,0.0,0.0,0.0,0,1,,,,,2,3317.28,2650.0,667.28,8.34,28.03,2,cargills,3094.8,2770.0,324.8,-222.48,0
basket_016,4,keells,5125.0,5125.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,5831.88,4985.0,846.88,10.59,31.1,2,keells,5125.0,5125.0,0.0,-706.88,0
basket_017,3,cargills,2455.0,2455.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,3107.28,2440.0,667.28,8.34,27.58,2,cargills,2455.0,2455.0,0.0,-652.28,0
basket_018,5,cargills,4640.0,4640.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,5157.28,4490.0,667.28,8.34,27.62,2,cargills,4640.0,4640.0,0.0,-517.28,0
basket_019,4,cargills,2230.0,2230.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,2230.0,2230.0,0.0,0.0,0.0,1,cargills,2230.0,2230.0,0.0,0.0,0
basket_020,4,cargills,2995.12,2610.0,385.12,0,,0.0,0.0,0.0,0,1,,,,,2,3001.88,2155.0,846.88,10.59,31.42,2,cargills,2995.12,2610.0,385.12,-6.76,0
basket_021,4,cargills,4479.8,4155.0,324.8,0,,0.0,0.0,0.0,0,1,,,,,2,4727.28,4060.0,667.28,8.34,27.0,2,cargills,4479.8,4155.0,324.8,-247.48,0
basket_022,5,keells,3675.0,3675.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,4511.0,3645.0,866.0,10.82,31.52,2,keells,3675.0,3675.0,0.0,-836.0,0
basket_023,4,cargills,3005.0,3005.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,3781.88,2935.0,846.88,10.59,31.4,2,cargills,3005.0,3005.0,0.0,-776.88,0
basket_024,3,cargills,2025.0,2025.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,2754.36,1765.0,989.36,12.37,31.02,2,cargills,2025.0,2025.0,0.0,-729.36,0
basket_025,2,keells,1490.0,1490.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,1937.28,1270.0,667.28,8.34,26.78,2,keells,1490.0,1490.0,0.0,-447.28,0
basket_026,3,keells,2790.0,2790.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,3531.88,2685.0,846.88,10.59,31.05,1,keells,2790.0,2790.0,0.0,-741.88,0
basket_027,2,keells,1570.0,1570.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,1570.0,1570.0,0.0,0.0,0.0,1,keells,1570.0,1570.0,0.0,0.0,0
basket_028,4,cargills,5250.0,5250.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,6139.36,5150.0,989.36,12.37,30.87,2,cargills,5250.0,5250.0,0.0,-889.36,0
basket_029,4,cargills,4190.0,4190.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,5016.88,4170.0,846.88,10.59,31.33,2,cargills,4190.0,4190.0,0.0,-826.88,0
basket_030,5,keells,3875.0,3875.0,0.0,0,,0.0,0.0,0.0,0,1,,,,,2,4656.88,3810.0,846.88,10.59,31.58,2,keells,3875.0,3875.0,0.0,-781.88,0
